405.0,675.0,470.0,816.0
394.0,673.0,460.0,817.0
384.0,672.0,450.0,819.0
373.0,671.0,439.0,821.0
363.0,669.0,429.0,823.0
365.0,659.0,432.0,816.0
353.0,658.0,420.0,818.0
341.0,658.0,408.0,821.0
329.0,658.0,397.0,825.0
318.0,657.0,386.0,827.0
306.0,657.0,374.0,830.0
294.0,657.0,362.0,833.0
282.0,657.0,351.0,837.0
270.0,656.0,339.0,839.0
259.0,656.0,328.0,842.0
247.0,656.0,316.0,845.0
230.0,654.0,299.0,848.0
214.0,652.0,282.0,851.0
197.0,650.0,265.0,854.0
181.0,648.0,264.0,856.0
164.0,646.0,245.0,859.0
148.0,644.0,227.0,862.0
131.0,642.0,208.0,865.0
115.0,640.0,211.0,867.0
98.0,639.0,189.0,871.0
82.0,637.0,168.0,874.0
65.0,635.0,147.0,877.0
32.0,633.0,126.0,879.0
11.0,631.0,104.0,882.0
0.0,629.0,83.0,885.0
0.0,627.0,62.0,888.0
